 films . | OPEN_movies
 haut . | GO_UP
 pourrais tu aller à la page suivante . | GO_NEXT
 haut . | GO_UP
 trouve ces photos . | FIND
 va en bas . | GO_DOWN
 trouve les . | FIND
 bas . | GO_DOWN
 aller à films . | OPEN_movies
 haut . | GO_UP
 haut . | GO_UP
 trouve ça . | FIND
 haut . | GO_UP
 trouve les . | FIND
 pourrais tu supprimer ça . | REMOVE
 trouve ces photos . | FIND
 supprime les .usiques  . | REMOVE
 page suivante . | GO_NEXT
 trouve les . | FIND
 peux tu les supprimer . | REMOVE
 pourrais tu le trouver . | FIND
 bas . | GO_DOWN
 peux tu les supprimer . | REMOVE
 pourrais tu supprimer ça . | REMOVE
 films . | OPEN_movies
 trouve les . | FIND
 peux tu les supprimer . | REMOVE
 trouve ça . | FIND
 haut . | GO_UP
 image suivante . | GO_NEXT
 supprime le . | REMOVE
 peux tu les supprimer . | REMOVE
 pourrais tu supprimer ces photos . | REMOVE
 trouve ça . | FIND
 pourrais tu les supprimer . | REMOVE
 haut . | GO_UP
 supprime ça . | REMOVE
 pourrais tu trouver ça . | FIND
 trouve ces musiques  . | FIND
 pourrais tu aller à la page précédente . | GO_PREV
 navigateur . | OPEN_browser
 photo suivante . | GO_NEXT
 pourrais tu supprimer ça . | REMOVE
 suivant . | GO_NEXT
 musique . | OPEN_music
 photos . | OPEN_photos
 haut . | GO_UP
 haut . | GO_UP
 haut . | GO_UP
 supprime ça . | REMOVE
 précédent . | GO_PREV
 photos . | OPEN_photos
 bas . | GO_DOWN
 films . | OPEN_movies
 peux tu le trouver . | FIND
 supprime ça . | REMOVE
 supprime les . | REMOVE
 trouve les . | FIND
 trouve les . | FIND
 haut . | GO_UP
 photos . | OPEN_photos
 bas . | GO_DOWN
 aller à suivant game . | GO_NEXT
 haut . | GO_UP
 pourrais tu supprimer ça . | REMOVE
 trouve les . | FIND
 bas . | GO_DOWN
 pourrais tu aller à photo suivante . | GO_NEXT
 pourrais tu supprimer ces . | REMOVE
 trouve ces . | FIND
 supprime le . | REMOVE
 précédent . | GO_PREV
 peux tu supprime les . | REMOVE
 peux tu les supprimer . | REMOVE
 haut . | GO_UP
 images . | OPEN_photos
 trouve les . | FIND
 trouve ces . | FIND
 supprime les . | REMOVE
 pourrais tu supprimer ces . | REMOVE
 bas . | GO_DOWN
 trouve ces . | FIND
 images . | OPEN_photos
 aller à image suivante . | GO_NEXT
 trouve les . | FIND
 suivant . | GO_NEXT
 bas . | GO_DOWN
 trouve les photos . | FIND
 jeux . | OPEN_games
 supprime les . | REMOVE
 peux tu le trouver . | FIND
 pourrais tu trouve ces . | FIND
 trouve ces . | FIND
 précédent photo . | GO_PREV
 peux tu les supprimer . | REMOVE
 trouve ça . | FIND
 trouve ça films . | FIND
 supprime le . | REMOVE
 trouve ces . | FIND
 supprime les . | REMOVE
 trouve ces images . | FIND
 musique . | OPEN_music
 précédent . | GO_PREV
 jeux . | OPEN_games
 supprime ça . | REMOVE
 peux tu les supprimer . | REMOVE
 peux tu trouve ces . | FIND
 trouve ça films . | FIND
 précédent photo . | GO_PREV
 jeux . | OPEN_games
 trouve les . | FIND
 suivant game . | GO_NEXT
 supprime ça films . | REMOVE
 va en bas . | GO_DOWN
 peux tu trouve ces films . | FIND
 trouve les photos . | FIND
 peux tu les supprimer . | REMOVE
 page suivante . | GO_NEXT
 pourrais tu les supprimer . | REMOVE
 photo suivante . | GO_NEXT
 suivant film . | GO_NEXT
 bas . | GO_DOWN
 haut . | GO_UP
 trouve ces musique . | FIND
 bas . | GO_DOWN
 images . | OPEN_photos
 supprime ça images . | REMOVE
 musique . | OPEN_music
 trouve ces . | FIND
 suivant . | GO_NEXT
 haut . | GO_UP
 suivant . | GO_NEXT
 trouve ça images . | FIND
 trouve ces films . | FIND
 suivant film . | GO_NEXT
 supprime les .hotos . | REMOVE
 trouve ces . | FIND
 pourrais tu les supprimer . | REMOVE
 trouve ces . | FIND
 bas . | GO_DOWN
 bas . | GO_DOWN
 peux tu aller à précédent game . | GO_PREV
 va en bas . | GO_DOWN
 précédent image . | GO_PREV
 photos . | OPEN_photos
 peux tu va en haut . | GO_UP
 suivant . | GO_NEXT
 trouve ça images . | FIND
 trouve le . | FIND
 trouve ça . | FIND
 haut . | GO_UP
 suivant . | GO_NEXT
 supprime les . | REMOVE
 haut . | GO_UP
 bas . | GO_DOWN
 trouve les jeux . | FIND
 trouve ça . | FIND
 trouve ces . | FIND
 peux tu les supprimer . | REMOVE
 pourrais tu aller à photos . | OPEN_photos
 jeux . | OPEN_games
 supprime les . | REMOVE
 films . | OPEN_movies
 trouve ces musique . | FIND
 trouve les . | FIND
 haut . | GO_UP
 supprime ça jeux . | REMOVE
 bas . | GO_DOWN
 peux tu supprime les . | REMOVE
 trouve les photos . | FIND
 haut . | GO_UP
 supprime les . | REMOVE
 bas . | GO_DOWN
 jeux . | OPEN_games
 haut . | GO_UP
 supprime les . | REMOVE
 films . | OPEN_movies
 précédent image . | GO_PREV
 supprime le . | REMOVE
 trouve ces . | FIND
 supprime les . | REMOVE
 trouve ces . | FIND
 peux tu aller à films . | OPEN_movies
 suivant film . | GO_NEXT
 trouve ça . | FIND
 pourrais tu aller à films . | OPEN_movies
 suivant chanson . | GO_NEXT
 suivant . | GO_NEXT
 trouve ces . | FIND
 pourrais tu trouve ces jeux . | FIND
 peux tu supprime ça jeux . | REMOVE
 navigateur . | OPEN_browser
 supprime les . | REMOVE
 suivant film . | GO_NEXT
 haut . | GO_UP
 films . | OPEN_movies
 trouve les musique . | FIND
 peux tu les supprimer . | REMOVE
 pourrais tu supprimer ces photos . | REMOVE
 films . | OPEN_movies
 haut . | GO_UP
 pourrais tu aller à précédent chanson . | GO_PREV
 jeux . | OPEN_games
 peux tu supprime les .usiques  . | REMOVE
 pourrais tu supprimer le . | REMOVE
 peux tu les supprimer . | REMOVE
 pourrais tu trouve ces . | FIND
 peux tu aller à précédent game . | GO_PREV
 jeux . | OPEN_games
 supprime les . | REMOVE
 bas . | GO_DOWN
 suivant film . | GO_NEXT
 bas . | GO_DOWN
 haut . | GO_UP
 peux tu le supprimer . | REMOVE
 trouve le . | FIND
 photos . | OPEN_photos
 précédent image . | GO_PREV
 pourrais tu supprimer ces . | REMOVE
 peux tu supprime ça . | REMOVE
 peux tu supprime ça jeux . | REMOVE
 pourrais tu les supprimer . | REMOVE
 peux tu les supprimer . | REMOVE
 haut . | GO_UP
 suivant . | GO_NEXT
 pourrais tu supprimer le . | REMOVE
 peux tu va en haut . | GO_UP
 images . | OPEN_photos
 photos . | OPEN_photos
 va en haut . | GO_UP
 haut . | GO_UP
 peux tu trouve ces . | FIND
 peux tu va en haut . | GO_UP
 photos . | OPEN_photos
 haut . | GO_UP
 peux tu aller à la page suivante . | GO_NEXT
 trouve les . | FIND
 supprime le . | REMOVE
 supprime les . | REMOVE
 pourrais tu aller à photos . | OPEN_photos
 images . | OPEN_photos
 trouve les . | FIND
 trouve le . | FIND
 trouve ces photos . | FIND
 peux tu supprime les .hotos . | REMOVE
 trouve le . | FIND
 musique . | OPEN_music
 bas . | GO_DOWN
 précédent . | GO_PREV
 jeux . | OPEN_games
 trouve les images . | FIND
 musique . | OPEN_music
 pourrais tu les supprimer . | REMOVE
 haut . | GO_UP
 trouve ces films . | FIND
 peux tu supprime les . | REMOVE
 précédent image . | GO_PREV
 précédent film . | GO_PREV
 images . | OPEN_photos
 va en bas . | GO_DOWN
 trouve ça . | FIND
 pourrais tu supprimer le . | REMOVE
 supprime les . | REMOVE
 peux tu supprime ça . | REMOVE
 image suivante . | GO_NEXT
 trouve le . | FIND
 suivant . | GO_NEXT
 peux tu le supprimer . | REMOVE
 photos . | OPEN_photos
 précédent film . | GO_PREV
 image suivante . | GO_NEXT
 supprime ça . | REMOVE
 bas . | GO_DOWN
 pourrais tu supprimer ça films . | REMOVE
 photos . | OPEN_photos
 suivant game . | GO_NEXT
 trouve les . | FIND
 supprime les . | REMOVE
 aller à images . | OPEN_photos
 peux tu supprime les . | REMOVE
 films . | OPEN_movies
 photos . | OPEN_photos
 films . | OPEN_movies
 bas . | GO_DOWN
 aller à suivant game . | GO_NEXT
 pourrais tu supprimer le . | REMOVE
 bas . | GO_DOWN
 trouve les jeux . | FIND
 pourrais tu le trouver . | FIND
 trouve ça . | FIND
 pourrais tu les supprimer . | REMOVE
 supprime les . | REMOVE
 trouve ces films . | FIND
 peux tu aller à suivant game . | GO_NEXT
 trouve le . | FIND
 navigateur . | OPEN_browser
 trouve le . | FIND
 trouve ces . | FIND
 photos . | OPEN_photos
 précédent . | GO_PREV
 trouve les . | FIND
 supprime les . | REMOVE
 trouve les . | FIND
 peux tu les supprimer . | REMOVE
 supprime les . | REMOVE
 bas . | GO_DOWN
 pourrais tu aller à musique . | OPEN_music
 photo suivante . | GO_NEXT
 pourrais tu aller à jeux . | OPEN_games
 bas . | GO_DOWN
 haut . | GO_UP
 trouve les . | FIND
 jeux . | OPEN_games
 trouve ça films . | FIND
 aller à photos . | OPEN_photos
 trouve les . | FIND
 photos . | OPEN_photos
 navigateur . | OPEN_browser
 haut . | GO_UP
 suivant chanson . | GO_NEXT
 pourrais tu supprimer ça . | REMOVE
 pourrais tu supprimer ça . | REMOVE
 images . | OPEN_photos
 trouve ces . | FIND
 supprime les . | REMOVE
 films . | OPEN_movies
 aller à images . | OPEN_photos
 suivant . | GO_NEXT
 peux tu supprime les . | REMOVE
 images . | OPEN_photos
 haut . | GO_UP
 images . | OPEN_photos
 trouve les . | FIND
 page précédente . | GO_PREV
 trouve ces . | FIND
 pourrais tu les supprimer . | REMOVE
 peux tu les supprimer . | REMOVE
 trouve ces . | FIND
 trouve les photos . | FIND
 trouve ça images . | FIND
 pourrais tu supprimer ces . | REMOVE
 peux tu aller à précédent image . | GO_PREV
 trouve ces photos . | FIND
 supprime le . | REMOVE
 images . | OPEN_photos
 supprime les . | REMOVE
 trouve ça . | FIND
 supprime le . | REMOVE
 bas . | GO_DOWN
 va en bas . | GO_DOWN
 supprime le . | REMOVE
 peux tu le supprimer . | REMOVE
 pourrais tu les supprimer . | REMOVE
 trouve les images . | FIND
 navigateur . | OPEN_browser
 trouve ça images . | FIND
 bas . | GO_DOWN
 films . | OPEN_movies
 bas . | GO_DOWN
 pourrais tu aller au film précédent . | GO_PREV
 haut . | GO_UP
 pourrais tu les supprimer . | REMOVE
 pourrais tu supprimer ces photos . | REMOVE
 bas . | GO_DOWN
 haut . | GO_UP
 peux tu les supprimer . | REMOVE
 supprime le . | REMOVE
 précédent . | GO_PREV
 trouve ces . | FIND
 pourrais tu supprimer ces . | REMOVE
 supprime ça images . | REMOVE
 supprime les . | REMOVE
 navigateur . | OPEN_browser
 photos . | OPEN_photos
 images . | OPEN_photos
 images . | OPEN_photos
 peux tu les supprimer . | REMOVE
 peux tu supprime les . | REMOVE
 peux tu supprime ça . | REMOVE
 peux tu les supprimer . | REMOVE
 précédent photo . | GO_PREV
 trouve ces . | FIND
 aller à précédent image . | GO_PREV
 supprime les . | REMOVE
 suivant . | GO_NEXT
 supprime les . | REMOVE
 peux tu le trouver . | FIND
 haut . | GO_UP
 images . | OPEN_photos
 trouve ça . | FIND
 supprime ça . | REMOVE
 trouve ça . | FIND
 pourrais tu trouver ça . | FIND
 peux tu le trouver . | FIND
 pourrais tu supprimer ça . | REMOVE
 musique . | OPEN_music
 supprime les . | REMOVE
 supprime le . | REMOVE
 pourrais tu supprimer ça images . | REMOVE
 aller à photos . | OPEN_photos
 va en haut . | GO_UP
 bas . | GO_DOWN
 films . | OPEN_movies
 haut . | GO_UP
 supprime le . | REMOVE
 jeux . | OPEN_games
 bas . | GO_DOWN
 trouve ça . | FIND
 suivant . | GO_NEXT
 musique . | OPEN_music
 pourrais tu supprimer le . | REMOVE
 pourrais tu le trouver films . | FIND
 supprime ça . | REMOVE
 va en bas . | GO_DOWN
 navigateur . | OPEN_browser
